EID,Sex,Age,EHQ_Total,Commercial_Use,Full_Pheno
NDARPR943MYP,0,9.652521,75.6,Yes,Yes
NDARMM594VJT,0,6.421629,33.35,Yes,Yes
NDARRD779RW5,0,6.202829,100,Yes,Yes
NDARAK078LMR,0,19.519279,93.4,Yes,Yes
NDARAL606CW5,1,9.925735,100,Yes,Yes
NDARCL927JHR,1,11.056468,100,Yes,Yes
NDARUK537ZXC,1,9.1483,86.67,Yes,Yes
NDARMY564AXU,1,7.606776,66.67,Yes,Yes
NDARXC266NHY,0,9.068788,-25.53,Yes,Yes
NDARMT126PB3,0,6.257015,26.68,Yes,Yes
NDARNP254RWE,1,12.305384,40,Yes,Yes
NDARPA917PE9,0,13.871206,86.67,Yes,Yes
NDARAG943DF9,1,8.611567,80,Yes,Yes
NDARNB773ECT,1,10.473534,66.67,Yes,Yes
NDAREY366VH0,0,17.443988,100,Yes,Yes
NDARHR191HKK,1,9.991558,100,Yes,Yes
NDARNV094DMP,0,5.983686,15.54,Yes,Yes
NDARTZ403MC0,0,7.147387,33.35,Yes,Yes
NDARBH502NZ9,0,12.009354,81.14,Yes,Yes
NDARYN983EAQ,0,10.347478,33.35,Yes,Yes
NDARFW626NVV,0,9.11305,53.34,Yes,Yes
NDARTY586BWT,1,10.692904,33.35,Yes,Yes
NDARUL077YNE,0,10.848391,84.47,Yes,Yes
NDARYZ946EUH,1,13.660734,80,Yes,Yes
NDARED010UML,0,5.578142,100,Yes,Yes
NDARCU057BFP,0,17.274127,55.6,Yes,Yes
NDARPM002AXQ,0,13.734656,53.34,Yes,Yes
NDARYV122VPZ,1,8.554072,40,Yes,Yes
NDARML514ZFM,1,9.498631,100,Yes,Yes
NDARCJ667UPL,1,7.210358,100,Yes,Yes
NDARBL990KHP,0,10.180469,51.14,Yes,Yes
NDARBC202FT0,0,11.141683,97.8,Yes,Yes
NDARZK746XJ3,0,6.801848,40,Yes,Yes
NDARBN695TM7,1,9.203285,61.14,Yes,Yes
NDAREZ900NA6,0,7.494752,73.34,Yes,Yes
NDARDW463WFD,0,12.576545,46.67,Yes,Yes
NDARUG099ZDH,0,6.120123,80,Yes,Yes
NDARJL368NPE,0,10.966119,-13.34,Yes,Yes
NDARNF423BB5,0,10.081793,100,Yes,Yes
NDARUW377KAE,0,11.103582,100,Yes,Yes
NDARZM362YA3,0,5.627538,57.8,Yes,Yes
NDARMT151RNN,0,8.274811,64.47,Yes,Yes
NDARYZ161MYP,1,5.641113,13.34,Yes,Yes
NDARRL900KHV,0,11.957449,100,Yes,Yes
NDARPZ019KKN,1,11.569016,100,Yes,Yes
NDARHV915YXJ,0,7.261806,60,Yes,Yes
NDARTM287BKX,0,10.235341,26.68,Yes,Yes
NDARXU409JCU,0,15.385694,86.67,Yes,Yes
NDARXF159HTA,0,10.024526,83.34,Yes,Yes
NDARPA699GD3,1,5.742984,-16.68,Yes,Yes
NDARHU018AT3,0,9.187086,73.34,Yes,Yes
NDARKK969JLV,0,9.762035,33.35,Yes,Yes
NDARJP954CE7,0,6.295345,23.33,Yes,Yes
NDARGW899XRD,0,15.625941,73.34,Yes,Yes
NDARGA530NHK,0,7.878507,-52.2,Yes,Yes
NDARMC298UC7,0,12.206365,100,Yes,Yes
NDARUH330VE7,1,11.968286,90,Yes,Yes
NDARKZ858GBD,0,5.696326,53.34,Yes,Yes
NDARVR636CY5,0,8.178986,100,Yes,Yes
